,race,subrace,section,content,race FR,subrace FR,section FR,content FR,
19,dhampir,Dhampir Hungers,Vampiric Bite,"Your fanged bite is a natural weapon, which counts as a simple melee weapon with which you are proficient. You add your Constitution modifier, instead of your Strength modifier, to the attack and damage rolls when you attack with this bite. It deals 1d4 piercing damage on a hit. While you are missing half or more of your hit points, you have advantage on attack rolls you make with this bite.",dhampir,Les dhampirs ont faim,Morsure vampirique,"Votre morsure à crocs est une arme naturelle, qui compte comme une arme de mêlée simple avec laquelle vous êtes compétent. Vous ajoutez votre modificateur de Constitution, au lieu de votre modificateur de Force, aux jets d'attaque et de dégâts lorsque vous attaquez avec cette morsure. Elle inflige 1d4 dégâts perforants en cas de coup. Tant qu'il vous manque la moitié ou plus de vos points de vie, vous bénéficiez d'un avantage sur les jets d'attaque que vous effectuez avec cette morsure.",
20,dhampir,Dhampir Hungers,"When you attack with this bite and hit a creature that isn’t a Construct or an Undead, you can empower yourself in one of the following ways of your",choice:,dhampir,Les dhampirs ont faim,"Lorsque vous attaquez avec cette morsure et touchez une créature qui n'est ni une construction ni un mort-vivant, vous pouvez vous renforcer de l'une des manières suivantes de votre",choix:,
21,dhampir,Dhampir Hungers,,"
d6
Hunger


1
Blood


2
Flesh or raw meat


3
Cerebral spinal fluid


4
Psychic energy


5
Dreams


6
Life energy

",dhampir,Les dhampirs ont faim,,"d6
Faim

1
Sang

2
Chair ou viande crue

3
Liquide céphalo-rachidien

4
Énergie psychique

5
Rêves

6
Énergie vitale",
22,dhampir,Dhampir Origins,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",dhampir,Origines des Dhampirs,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1.",
23,dhampir,Dhampir Origins,Creature Type,You are a Humanoid.,dhampir,Origines des Dhampirs,Type de créature,Vous êtes un humanoïde.,
24,dhampir,Dhampir Origins,Size,You are Medium or Small. You choose the size when you gain this lineage.,dhampir,Origines des Dhampirs,Taille,Vous êtes de taille moyenne ou petite. Vous choisissez la taille lorsque vous obtenez cette lignée.,
25,dhampir,Dhampir Origins,Speed,Your walking speed is 35 feet.,dhampir,Origines des Dhampirs,Vitesse,Votre vitesse de marche est de 35 pieds.,
26,dhampir,Dhampir Origins,Ancestral Legacy,"If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it.",dhampir,Origines des Dhampirs,Héritage ancestral,"Si vous remplacez une race par cette lignée, vous pouvez conserver les éléments suivants de cette race : toutes les compétences que vous avez acquises grâce à elle et toute vitesse d'escalade, de vol ou de nage que vous avez acquise grâce à elle.",
27,dhampir,Dhampir Origins,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness as shades of gray.,dhampir,Origines des Dhampirs,Vision dans le noir,Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous discernez les couleurs dans cette obscurité comme des nuances de gris.,
28,dhampir,Dhampir Origins,Deathless Nature,You don’t need to breathe.,dhampir,Origines des Dhampirs,Nature immortelle,Tu n’as pas besoin de respirer.,
29,dhampir,Dhampir Origins,Spider Climb,"You have a climbing speed equal to your walking speed. In addition, at 3rd level, you can move up, down, and across vertical surfaces and upside down along ceilings, while leaving your hands free.",dhampir,Origines des Dhampirs,L'ascension de l'araignée,"Vous avez une vitesse d'ascension égale à votre vitesse de marche. De plus, au niveau 3, vous pouvez vous déplacer vers le haut, vers le bas et sur des surfaces verticales et à l'envers le long des plafonds, tout en gardant les mains libres.",
30,dhampir,Dhampir Origins,Vampiric Bite,"Your fanged bite is a natural weapon, which counts as a simple melee weapon with which you are proficient. You add your Constitution modifier, instead of your Strength modifier, to the attack and damage rolls when you attack with this bite. It deals 1d4 piercing damage on a hit. While you are missing half or more of your hit points, you have advantage on attack rolls you make with this bite.",dhampir,Origines des Dhampirs,Morsure vampirique,"Votre morsure à crocs est une arme naturelle, qui compte comme une arme de mêlée simple avec laquelle vous êtes compétent. Vous ajoutez votre modificateur de Constitution, au lieu de votre modificateur de Force, aux jets d'attaque et de dégâts lorsque vous attaquez avec cette morsure. Elle inflige 1d4 dégâts perforants en cas de coup. Tant qu'il vous manque la moitié ou plus de vos points de vie, vous bénéficiez d'un avantage sur les jets d'attaque que vous effectuez avec cette morsure.",
31,dhampir,Dhampir Origins,"When you attack with this bite and hit a creature that isn’t a Construct or an Undead, you can empower yourself in one of the following ways of your",choice:,dhampir,Origines des Dhampirs,"Lorsque vous attaquez avec cette morsure et touchez une créature qui n'est ni une construction ni un mort-vivant, vous pouvez vous renforcer de l'une des manières suivantes de votre",choix:,
32,dhampir,Dhampir Origins,,"You gain a bonus to the next ability check or attack roll you make; the bonus equals the piercing damage dealt by the bite.
",dhampir,Origines des Dhampirs,,Vous obtenez un bonus au prochain test de caractéristique ou au prochain jet d'attaque que vous effectuez , le bonus est égal aux dégâts perforants infligés par la morsure.
0,disembodied,disembodied,Ability Score Increase,Your Intelligence score increases by 2 and your Dexterity score increases by 1.,désincarné,désincarné,Augmentation du score de capacité,Votre score d'Intelligence augmente de 2 et votre score de Dextérité augmente de 1.,
1,disembodied,disembodied,Age,"The disembodied mature at a much slower rate than their humanoid equivalent, and their life expectancy is drastically higher, with not a single disembodied having passed due to old age.",désincarné,désincarné,Âge,"Les désincarnés mûrissent à un rythme beaucoup plus lent que leur équivalent humanoïde, et leur espérance de vie est considérablement plus élevée, aucun désincarné n'étant décédé en raison de la vieillesse.",
2,disembodied,disembodied,Alignment,The disembodied tend towards no particular alignments.,désincarné,désincarné,Alignement,Les désincarnés ne tendent vers aucun alignement particulier.,
3,disembodied,disembodied,Size,"You still possess the height of your former humanoid self, but your nearly insubstantial nature has drastically reduced your weight to a quarter of your original weight. Your size is the same it was before the accident.",désincarné,désincarné,Taille,"Vous possédez toujours la taille de votre ancien être humanoïde, mais votre nature presque insubstantielle a considérablement réduit votre poids à un quart de votre poids d'origine. Votre taille est la même qu'avant l'accident.",
4,disembodied,disembodied,Speed,Your base walking speed is 30 feet.,désincarné,désincarné,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
5,disembodied,disembodied,Fade Away,"On your turn, as an action, you can fade from the Material Realm and disappear into the ethereal plane. While you remain faded away, you cannot interact with the Material Plane, and effects on the Material Plane cannot interact with you, including spells and creatures. However, you can move and hear as normal, and see everything in shades of grey.",désincarné,désincarné,Disparaître,"À votre tour, par une action, vous pouvez disparaître du monde matériel et disparaître dans le plan éthéré. Tant que vous restez dans cette situation, vous ne pouvez pas interagir avec le plan matériel, et les effets sur le plan matériel ne peuvent pas interagir avec vous, y compris les sorts et les créatures. Cependant, vous pouvez vous déplacer et entendre normalement, et tout voir en nuances de gris.",
6,disembodied,disembodied,Planar Outcast,"You may cast the Feather Fall spell once per day, targeting yourself only. When you reach 3rd level, you may cast the Blur spell once per day. When you reach 5th level, you may cast the Blink spell once per day. Intelligence is your spellcasting ability for these spells.",désincarné,désincarné,Paria planaire,"Vous pouvez lancer le sort Chute de plumes une fois par jour, en vous ciblant uniquement. Lorsque vous atteignez le niveau 3, vous pouvez lancer le sort Flou une fois par jour. Lorsque vous atteignez le niveau 5, vous pouvez lancer le sort Clignement une fois par jour. L'intelligence est votre capacité à lancer ces sorts.",
7,disembodied,disembodied,Arcane Origins,You gain proficiency in the Arcana skill.,désincarné,désincarné,Origines des arcanes,Vous acquérez la maîtrise de la compétence Arcanes.,
8,disembodied,disembodied,Languages,"You can speak, read, and write two languages of your choice.",désincarné,désincarné,Langues,"Vous pouvez parler, lire et écrire deux langues de votre choix.",
0,dragonborn,dragonborn,Ability Score Increase,"Your Strength score increases by 2, and your Charisma score increases by 1.",dragonborn,dragonborn,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Charisme augmente de 1.,
1,dragonborn,dragonborn,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80.",dragonborn,dragonborn,Âge,"Les jeunes dragonborn grandissent rapidement. Ils marchent plusieurs heures après l'éclosion, atteignent la taille et le développement d'un enfant humain de 10 ans à l'âge de 3 ans et atteignent l'âge adulte à 15 ans. Ils vivent jusqu'à environ 80 ans.",
2,dragonborn,dragonborn,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains.",dragonborn,dragonborn,Alignement,"Les drakéides ont tendance à être extrêmes, choisissant consciemment de se ranger du côté du bien ou du mal (représentés respectivement par Bahamut et Tiamat). La plupart des drakéides sont bons, mais ceux qui se rangent du côté de Tiamat peuvent être de terribles méchants.",
3,dragonborn,dragonborn,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium.",dragonborn,dragonborn,Taille,"Les Dragonborn sont plus grands et plus lourds que les humains, mesurant plus d'1,80 m et pesant en moyenne près de 113 kg. Votre taille est M.",
4,dragonborn,dragonborn,Speed,Your base walking speed is 30 feet.,dragonborn,dragonborn,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
5,dragonborn,dragonborn,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table.",dragonborn,dragonborn,Ascendance draconique,"Vous avez une ascendance draconique. Choisissez un type de dragon dans le tableau d'ascendance draconique. Votre souffle et votre résistance aux dégâts sont déterminés par le type de dragon, comme indiqué dans le tableau.",
6,dragonborn,dragonborn,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

",dragonborn,dragonborn,,"Dragon
Type de dégâts
Souffle Arme

Noir
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bleu
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Laiton
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bronze
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Cuivre
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Or
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Vert
Poison
Cône de 15 pieds (Sauvegarde de Con.)

Rouge
Feu
Cône de 15 pieds (Sauvegarde de Con.)

Argent
Froid
Cône de 15 pieds (Sauvegarde de Con.)

Blanc
Froid
Cône de 15 pieds (Sauvegarde de Con.)",
7,dragonborn,dragonborn,Breath Weapon,"You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can’t use it again until you complete a short or long rest.",dragonborn,dragonborn,Arme à souffle,"Vous pouvez utiliser votre action pour expirer une énergie destructrice. Votre ascendance draconique détermine la taille, la forme et le type de dégâts de l'expiration. Lorsque vous utilisez votre souffle, chaque créature dans la zone d'expiration doit effectuer un jet de sauvegarde, dont le type est déterminé par votre ascendance draconique. Le DD de ce jet de sauvegarde est égal à 8 + votre modificateur de Constitution + votre bonus de maîtrise. Une créature subit 2d6 dégâts en cas d'échec, et la moitié de ces dégâts en cas de réussite. Les dégâts augmentent à 3d6 au niveau 6, 4d6 au niveau 11 et 5d6 au niveau 16. Après avoir utilisé votre souffle, vous ne pouvez plus l'utiliser avant d'avoir effectué un repos court ou long.",
8,dragonborn,dragonborn,Damage Resistance,You have resistance to the damage type associated with your draconic ancestry.,dragonborn,dragonborn,Résistance aux dommages,Vous avez une résistance au type de dégâts associé à votre ascendance draconique.,
9,dragonborn,dragonborn,Languages,"You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants.",dragonborn,dragonborn,Langues,"Vous pouvez parler, lire et écrire le commun et le draconique. Le draconique est considéré comme l'une des langues les plus anciennes et est souvent utilisé dans l'étude de la magie. Cette langue semble dure pour la plupart des autres créatures et comprend de nombreuses consonnes et sifflantes dures.",
10,dragonborn,Dragonborn Variant: Draconbloods,Ability Score Increase,"Your Intelligence score increases by 2, and your Charisma score increases by 1.",dragonborn,Variante de Dragonborn : Sang de dragon,Augmentation du score de capacité,Votre score d'intelligence augmente de 2 et votre score de charisme augmente de 1.,
11,dragonborn,Dragonborn Variant: Draconbloods,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80.",dragonborn,Variante de Dragonborn : Sang de dragon,Âge,"Les jeunes dragonborn grandissent rapidement. Ils marchent plusieurs heures après l'éclosion, atteignent la taille et le développement d'un enfant humain de 10 ans à l'âge de 3 ans et atteignent l'âge adulte à 15 ans. Ils vivent jusqu'à environ 80 ans.",
12,dragonborn,Dragonborn Variant: Draconbloods,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains.",dragonborn,Variante de Dragonborn : Sang de dragon,Alignement,"Les drakéides ont tendance à être extrêmes, choisissant consciemment de se ranger du côté du bien ou du mal (représentés respectivement par Bahamut et Tiamat). La plupart des drakéides sont bons, mais ceux qui se rangent du côté de Tiamat peuvent être de terribles méchants.",
13,dragonborn,Dragonborn Variant: Draconbloods,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium.",dragonborn,Variante de Dragonborn : Sang de dragon,Taille,"Les Dragonborn sont plus grands et plus lourds que les humains, mesurant plus d'1,80 m et pesant en moyenne près de 113 kg. Votre taille est M.",
14,dragonborn,Dragonborn Variant: Draconbloods,Speed,Your base walking speed is 30 feet.,dragonborn,Variante de Dragonborn : Sang de dragon,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
15,dragonborn,Dragonborn Variant: Draconbloods,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table.",dragonborn,Variante de Dragonborn : Sang de dragon,Ascendance draconique,"Vous avez une ascendance draconique. Choisissez un type de dragon dans le tableau d'ascendance draconique. Votre souffle et votre résistance aux dégâts sont déterminés par le type de dragon, comme indiqué dans le tableau.",
16,dragonborn,Dragonborn Variant: Draconbloods,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

",dragonborn,Variante de Dragonborn : Sang de dragon,,"Dragon
Type de dégâts
Souffle Arme

Noir
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bleu
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Laiton
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bronze
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Cuivre
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Or
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Vert
Poison
Cône de 15 pieds (Sauvegarde de Con.)

Rouge
Feu
Cône de 15 pieds (Sauvegarde de Con.)

Argent
Froid
Cône de 15 pieds (Sauvegarde de Con.)

Blanc
Froid
Cône de 15 pieds (Sauvegarde de Con.)",
17,dragonborn,Dragonborn Variant: Draconbloods,Breath Weapon,"You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can’t use it again until you complete a short or long rest.",dragonborn,Variante de Dragonborn : Sang de dragon,Arme à souffle,"Vous pouvez utiliser votre action pour expirer une énergie destructrice. Votre ascendance draconique détermine la taille, la forme et le type de dégâts de l'expiration. Lorsque vous utilisez votre souffle, chaque créature dans la zone d'expiration doit effectuer un jet de sauvegarde, dont le type est déterminé par votre ascendance draconique. Le DD de ce jet de sauvegarde est égal à 8 + votre modificateur de Constitution + votre bonus de maîtrise. Une créature subit 2d6 dégâts en cas d'échec, et la moitié de ces dégâts en cas de réussite. Les dégâts augmentent à 3d6 au niveau 6, 4d6 au niveau 11 et 5d6 au niveau 16. Après avoir utilisé votre souffle, vous ne pouvez plus l'utiliser avant d'avoir effectué un repos court ou long.",
18,dragonborn,Dragonborn Variant: Draconbloods,Damage Resistance,You have resistance to the damage type associated with your draconic ancestry.,dragonborn,Variante de Dragonborn : Sang de dragon,Résistance aux dommages,Vous avez une résistance au type de dégâts associé à votre ascendance draconique.,
19,dragonborn,Dragonborn Variant: Draconbloods,Languages,"You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants.",dragonborn,Variante de Dragonborn : Sang de dragon,Langues,"Vous pouvez parler, lire et écrire le commun et le draconique. Le draconique est considéré comme l'une des langues les plus anciennes et est souvent utilisé dans l'étude de la magie. Cette langue semble dure pour la plupart des autres créatures et comprend de nombreuses consonnes et sifflantes dures.",
20,dragonborn,Dragonborn Variant: Draconbloods,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",dragonborn,Variante de Dragonborn : Sang de dragon,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris.",
21,dragonborn,Dragonborn Variant: Draconbloods,Forceful Presence,"You can use your understanding of creative diplomacy or intimidation to guide a conversation in your favor. When you make a Charisma (Intimidation or Persuasion) check, you can do so with advantage. Once you use this trait, you can't do so again until you finish a short or long rest.",dragonborn,Variante de Dragonborn : Sang de dragon,Présence puissante,"Vous pouvez utiliser votre compréhension de la diplomatie créative ou de l'intimidation pour orienter une conversation en votre faveur. Lorsque vous effectuez un test de Charisme (Intimidation ou Persuasion), vous pouvez le faire avec avantage. Une fois que vous avez utilisé ce trait, vous ne pouvez plus le faire avant d'avoir terminé un repos court ou long.",
22,dragonborn,Dragonborn Variant: Ravenite,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1.",dragonborn,Variante de Dragonborn : Ravenite,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Constitution augmente de 1.,
23,dragonborn,Dragonborn Variant: Ravenite,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80.",dragonborn,Variante de Dragonborn : Ravenite,Âge,"Les jeunes dragonborn grandissent rapidement. Ils marchent plusieurs heures après l'éclosion, atteignent la taille et le développement d'un enfant humain de 10 ans à l'âge de 3 ans et atteignent l'âge adulte à 15 ans. Ils vivent jusqu'à environ 80 ans.",
24,dragonborn,Dragonborn Variant: Ravenite,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains.",dragonborn,Variante de Dragonborn : Ravenite,Alignement,"Les drakéides ont tendance à être extrêmes, choisissant consciemment de se ranger du côté du bien ou du mal (représentés respectivement par Bahamut et Tiamat). La plupart des drakéides sont bons, mais ceux qui se rangent du côté de Tiamat peuvent être de terribles méchants.",
25,dragonborn,Dragonborn Variant: Ravenite,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium.",dragonborn,Variante de Dragonborn : Ravenite,Taille,"Les Dragonborn sont plus grands et plus lourds que les humains, mesurant plus d'1,80 m et pesant en moyenne près de 113 kg. Votre taille est M.",
26,dragonborn,Dragonborn Variant: Ravenite,Speed,Your base walking speed is 30 feet.,dragonborn,Variante de Dragonborn : Ravenite,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
27,dragonborn,Dragonborn Variant: Ravenite,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table.",dragonborn,Variante de Dragonborn : Ravenite,Ascendance draconique,"Vous avez une ascendance draconique. Choisissez un type de dragon dans le tableau d'ascendance draconique. Votre souffle et votre résistance aux dégâts sont déterminés par le type de dragon, comme indiqué dans le tableau.",
28,dragonborn,Dragonborn Variant: Ravenite,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

",dragonborn,Variante de Dragonborn : Ravenite,,"Dragon
Type de dégâts
Souffle Arme

Noir
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bleu
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Laiton
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bronze
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Cuivre
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Or
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Vert
Poison
Cône de 15 pieds (Sauvegarde de Con.)

Rouge
Feu
Cône de 15 pieds (Sauvegarde de Con.)

Argent
Froid
Cône de 15 pieds (Sauvegarde de Con.)

Blanc
Froid
Cône de 15 pieds (Sauvegarde de Con.)",
29,dragonborn,Dragonborn Variant: Ravenite,Breath Weapon,"You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can’t use it again until you complete a short or long rest.",dragonborn,Variante de Dragonborn : Ravenite,Arme à souffle,"Vous pouvez utiliser votre action pour expirer une énergie destructrice. Votre ascendance draconique détermine la taille, la forme et le type de dégâts de l'expiration. Lorsque vous utilisez votre souffle, chaque créature dans la zone d'expiration doit effectuer un jet de sauvegarde, dont le type est déterminé par votre ascendance draconique. Le DD de ce jet de sauvegarde est égal à 8 + votre modificateur de Constitution + votre bonus de maîtrise. Une créature subit 2d6 dégâts en cas d'échec, et la moitié de ces dégâts en cas de réussite. Les dégâts augmentent à 3d6 au niveau 6, 4d6 au niveau 11 et 5d6 au niveau 16. Après avoir utilisé votre souffle, vous ne pouvez plus l'utiliser avant d'avoir effectué un repos court ou long.",
30,dragonborn,Dragonborn Variant: Ravenite,Damage Resistance,You have resistance to the damage type associated with your draconic ancestry.,dragonborn,Variante de Dragonborn : Ravenite,Résistance aux dommages,Vous avez une résistance au type de dégâts associé à votre ascendance draconique.,
31,dragonborn,Dragonborn Variant: Ravenite,Languages,"You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants.",dragonborn,Variante de Dragonborn : Ravenite,Langues,"Vous pouvez parler, lire et écrire le commun et le draconique. Le draconique est considéré comme l'une des langues les plus anciennes et est souvent utilisé dans l'étude de la magie. Cette langue semble dure pour la plupart des autres créatures et comprend de nombreuses consonnes et sifflantes dures.",
32,dragonborn,Dragonborn Variant: Ravenite,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",dragonborn,Variante de Dragonborn : Ravenite,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris.",
33,dragonborn,Dragonborn Variant: Ravenite,Forceful Presence,"You can use your understanding of creative diplomacy or intimidation to guide a conversation in your favor. When you make a Charisma (Intimidation or Persuasion) check, you can do so with advantage. Once you use this trait, you can't do so again until you finish a short or long rest.",dragonborn,Variante de Dragonborn : Ravenite,Présence puissante,"Vous pouvez utiliser votre compréhension de la diplomatie créative ou de l'intimidation pour orienter une conversation en votre faveur. Lorsque vous effectuez un test de Charisme (Intimidation ou Persuasion), vous pouvez le faire avec avantage. Une fois que vous avez utilisé ce trait, vous ne pouvez plus le faire avant d'avoir terminé un repos court ou long.",
34,dragonborn,Dragonborn Variant: Ravenite,Vengeful Assault,"When you take damage from a creature in range of a weapon you are wielding, you can use your reaction to make an attack with the weapon against that creature. Once you use this trait, you can't do so again until you finish a short or long rest.",dragonborn,Variante de Dragonborn : Ravenite,Assaut vengeur,"Lorsque vous subissez des dégâts d'une créature à portée d'une arme que vous utilisez, vous pouvez utiliser votre réaction pour effectuer une attaque avec l'arme contre cette créature. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus le faire avant d'avoir terminé un repos court ou long.",
35,dragonborn,Variant Dragonborn: Chromatic Dragonborn,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",dragonborn,Variante Dragonborn : Dragonborn Chromatique,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1.",
36,dragonborn,Variant Dragonborn: Chromatic Dragonborn,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80.",dragonborn,Variante Dragonborn : Dragonborn Chromatique,Âge,"Les jeunes dragonborn grandissent rapidement. Ils marchent plusieurs heures après l'éclosion, atteignent la taille et le développement d'un enfant humain de 10 ans à l'âge de 3 ans et atteignent l'âge adulte à 15 ans. Ils vivent jusqu'à environ 80 ans.",
