,background,source,skills,background FR,source FR,tools,languages,equipement text,description,tools FR,languages FR,equipement text FR,description FR
54,Knight of the Order,Knightly Regard ,"[' Persuasion', 'Arcana', 'History', 'Nature', 'Religion']",Chevalier de l'Ordre,Regard chevaleresque,One type of gaming set or musical instrument,One of your choice,"One set of Traveler's Clothes, a Signet, banner or seal representing your place or rank in the order, and a pouch containing 10 gp","
You belong to an order of knights who have sworn oaths to achieve a certain goal. The nature of this goal depends on the order you serve, but in your eyes it is without question a vital and honorable endeavor. Faerûn has a wide variety of knightly orders, all of which have a similar outlook concerning their actions and responsibilities.
Though the term ""knight"" conjures ideas of mounted, heavily armored warriors of noble blood, most knightly orders in Faerûn don't restrict their membership to such individuals. The goals and philosophies of the order are more important than the gear and fighting style of its members, and so most of these orders aren't limited to fighting types, but are open to all sorts of folk who are willing to battle and die for the order's cause.
The ""Knightly Orders of Faerûn"" section below details several of the orders that are active at present and is designed to help inform your decision about which group you owe allegiance to.
",Un type d'ensemble de jeu ou d'instrument de musique,Un de vos choix,"Un ensemble de vêtements de voyageur, un sceau, une bannière ou un sceau représentant votre place ou votre rang dans l'ordre, et une bourse contenant 10 po","Vous appartenez à un ordre de chevaliers qui ont prêté serment d'atteindre un certain objectif. La nature de cet objectif dépend de l'ordre que vous servez, mais à vos yeux, il s'agit sans aucun doute d'une entreprise vitale et honorable. Faerûn compte une grande variété d'ordres chevaleresques, qui ont tous une vision similaire de leurs actions et responsabilités. 
Bien que le terme « chevalier » évoque des idées de guerriers montés et lourdement armés de sang noble, la plupart des ordres chevaleresques de Faerûn ne limitent pas leur adhésion à ces individus. Les objectifs et les philosophies de l'ordre sont plus importants que l'équipement et le style de combat de ses membres, et la plupart de ces ordres ne se limitent donc pas aux types de combattants, mais sont ouverts à toutes sortes de personnes prêtes à se battre et à mourir pour la cause de l'ordre. 
La section « Ordres chevaleresques de Faerûn » ci-dessous détaille plusieurs des ordres actuellement actifs et est conçue pour vous aider à prendre une décision éclairée quant au groupe auquel vous devez allégeance."
55,Knight of Solamnia,Squire of Solamnia ,"[' Athletics', 'Survival']",Chevalier de Solamnie,Écuyer de Solamnie,,Two of your choice,"An insignia of rank, a deck of cards, a set of common clothes, and a pouch containing 10 gp","
You have trained to be a valorous warrior known as a Knight of Solamnia. Strict rules guide your every action, and you work to uphold them as you strive to defend the weak and oppose evil. Your honor is as important to you as your life.
",,Deux de votre choix,"Un insigne de rang, un jeu de cartes, un ensemble de vêtements communs et une bourse contenant 10 po",Vous avez été formé pour devenir un valeureux guerrier connu sous le nom de Chevalier de Solamnie. Des règles strictes guident chacune de vos actions et vous vous efforcez de les respecter tout en vous efforçant de défendre les faibles et de vous opposer au mal. Votre honneur est aussi important pour vous que votre vie.
56,Lorehold Student,Lorehold Initiate ,"[' History', 'Religion']",Étudiant de Lorehold,Initié à Lorehold,,Two of your choice,"A bottle of Black Ink, an Ink Pen, a Hammer, a Hooded Lantern, a Tinderbox, a tome of history, a school uniform, and a pouch containing 15 gp","
You have spent your youth preparing to be a student of Lorehold College, reading every book on the college's recommended reading list for prospective students. Your academic passions are in the broad field of history. You might dream of using magic to contact great historical figures or your own ancestors or of recreating the mighty magic of a distant age.
",,Deux de votre choix,"Une bouteille d'encre noire, un stylo à encre, un marteau, une lanterne à capuchon, une boîte à amadou, un livre d'histoire, un uniforme scolaire et une bourse contenant 15 po","Vous avez passé votre jeunesse à vous préparer à devenir étudiant au Lorehold College, en lisant tous les livres recommandés par l'université pour les futurs étudiants. Vos passions académiques se situent dans le vaste domaine de l'histoire. Vous rêvez peut-être d'utiliser la magie pour entrer en contact avec de grands personnages historiques ou vos propres ancêtres ou de recréer la puissante magie d'une époque lointaine."
57,Lyceum Scholar,Academic Requisition ,"[' Arcana', 'History', 'Persuasion']",Boursier du Lycée,Demande académique,,Two of your choice,"A set of fine clothes, a student uniform, a writing kit (small pouch with a quill, ink, folded parchment and a penknife), and a belt pouch containing 10 gp","
You most likely came up through money or hailed from a family with social prestige if you were able to afford tuition at the Alabaster Lyceum in Emon. But whatever your origin, your interests and pursuits brought you to the hallowed halls of Tal'Dorei's highest place of learning, where you soaked in every lesson you could, hoping to better make your mark on the world. (Or at least you pretended to. Even at the Lyceum, every class has its slackers.) Eventually, though, the call to adventure pulled you from your studies, and you now face the challenge of keeping up with your education even as the tides of destiny threaten to sweep you away.
You might have come to the Lyceum to better research and understand the history and lore of Exandria and the lands you call home. Perhaps you sought a future here as a professor—or you might hope to do so still. You could also have been drawn by the promise of prosperity in politics, learning the inner workings of government and alliances to better position yourself as a future writer of history. Or perhaps your knack for the arcane inspired you to attend the Lyceum to refine your spellcraft, following in the footsteps of some of the finest wizards to ever practice the arts of magic.
When you choose this background, you could be either an active student seeking adventures for your own research, or a graduated alumnus. With a little modification, you could easily be a professor as well.
",,Deux de votre choix,"Un ensemble de beaux vêtements, un uniforme d'étudiant, un kit d'écriture (petite pochette avec une plume, de l'encre, du parchemin plié et un canif) et une pochette de ceinture contenant 10 po","Vous avez probablement grandi grâce à l'argent ou vous êtes issu d'une famille de prestige social si vous avez pu payer les frais de scolarité du lycée d'Alabaster à Emon. Mais quelle que soit votre origine, vos intérêts et vos activités vous ont conduit dans les salles sacrées du plus haut lieu d'apprentissage de Tal'Dorei, où vous avez absorbé chaque leçon possible, dans l'espoir de mieux laisser votre empreinte sur le monde. (Ou du moins, vous avez fait semblant. Même au lycée, chaque classe a ses fainéants.) Mais finalement, l'appel de l'aventure vous a tiré de vos études, et vous devez maintenant relever le défi de poursuivre votre éducation même si les marées du destin menacent de vous emporter. 
Vous êtes peut-être venu au lycée pour mieux étudier et comprendre l'histoire et les traditions d'Exandria et des terres que vous appelez chez vous. Peut-être avez-vous cherché un avenir ici en tant que professeur - ou espérez-vous toujours le faire. Vous pourriez aussi avoir été attiré par la promesse de prospérité en politique, en apprenant le fonctionnement interne du gouvernement et des alliances pour mieux vous positionner en tant que futur écrivain d'histoire. Ou peut-être que votre talent pour les arcanes vous a inspiré à fréquenter le Lyceum pour perfectionner votre art de la magie, en suivant les traces de certains des meilleurs sorciers à avoir jamais pratiqué les arts de la magie.
Si vous choisissez ce parcours, vous pourriez être soit un étudiant actif en quête d'aventures pour vos propres recherches, soit un ancien élève diplômé. Avec une petite modification, vous pourriez facilement devenir également professeur."
58,Mage of High Sorcery,Initiate of High Sorcery ,"[' Arcana', 'History']",Mage de Haute Sorcellerie,Initié de la Haute Sorcellerie,,Two of your choice,"A bottle of colored ink, an ink pen, a set of common clothes, and a pouch containing 10 gp","
Your talent for magic came to the attention of the Mages of High Sorcery, an organization of spellcasters that studies magic and prevents its misuse. You've trained among the Mages, but whether you'll face the dangerous test required to become a full member of the group remains to be determined. Your passion for studying magic has likely already predisposed you toward one of the organization's three orders: the benevolent Order of the White Robes, the balance-pursuing Order of the Red Robes, or the ruthless Order of the Black Robes.
In the world of Krynn, many refer to the Mages of High Sorcery as the Wizards of High Sorcery. The organization accepts more than wizards, though, with sorcerers, warlocks, and other spellcasters included among their ranks.
",,Deux de votre choix,"Une bouteille d'encre colorée, un stylo à encre, un ensemble de vêtements communs et une bourse contenant 10 po","Votre talent pour la magie a attiré l'attention des Mages de Haute Sorcellerie, une organisation de lanceurs de sorts qui étudie la magie et empêche son utilisation abusive. Vous avez été formé parmi les Mages, mais il reste à déterminer si vous réussirez le test dangereux requis pour devenir un membre à part entière du groupe. Votre passion pour l'étude de la magie vous a probablement déjà prédisposé à l'un des trois ordres de l'organisation : l'Ordre bienveillant des Robes blanches, l'Ordre des Robes rouges qui recherche l'équilibre ou l'impitoyable Ordre des Robes noires. 
Dans le monde de Krynn, beaucoup font référence aux Mages de Haute Sorcellerie comme les Sorciers de Haute Sorcellerie. L'organisation accepte cependant plus que des sorciers, avec des sorciers, des sorciers et d'autres lanceurs de sorts inclus dans ses rangs."
59,Marine,Steady ,"[' Athletics', 'Survival']",Marin,Constant,"Vehicles (water, land)",None,"A Dagger that belonged to a fallen comrade, a folded Rag emblazoned with the symbol of your ship or company, a set of Traveler's Clothes, and a belt pouch containing 10 gp","
You were trained for battle on sandy beaches and rocky shores. You have launched midnight raids from swift ships whose names evoke terror in the hearts of your adversaries. The water is your second home, the rain your shelter, and the crashing waves your battle cry.
","Véhicules (eau, terre)",Aucun,"Un poignard ayant appartenu à un camarade tombé au combat, un chiffon plié arborant le symbole de votre navire ou de votre compagnie, un ensemble de vêtements de voyageur et une pochette de ceinture contenant 10 po","Vous avez été entraînés à la bataille sur des plages de sable et des rivages rocheux. Vous avez lancé des raids nocturnes à partir de navires rapides dont les noms évoquent la terreur dans le cœur de vos adversaires. L'eau est votre deuxième maison, la pluie votre abri et les vagues déferlantes votre cri de guerre."
60,Mercenary Veteran,Mercenary Life ,"[' Athletics', 'Persuasion']",Mercenaire vétéran,La vie de mercenaire,"One type of gaming set, vehicles (land)",None,"A uniform of your company (Traveler's Clothes in quality), an insignia of your rank, a Gaming Set of your choice, and a pouch containing the remainder of your last wages (10 gp)","
As a sell-sword who fought battles for coin, you're well acquainted with risking life and limb for a chance at a share of treasure. Now, you look forward to fighting foes and reaping even greater rewards as an adventurer. Your experience makes you familiar with the ins and outs of mercenary life, and you likely have harrowing stories of events on the battlefield. You might have served with a large outfit such as the Zhentarim or the soldiers of Mintarn, or a smaller band of sell-swords, maybe even more than one. See the ""Mercenaries of the North"" section below for a collection of possibilities.
Now you're looking for something else, perhaps greater reward for the risks you take, or the freedom to choose your own activities. For whatever reason, you're leaving behind the life of a soldier for hire, but your skills are undeniably suited for battle, so now you fight on in a different way
","Un type d'ensemble de jeu, véhicules (terrestres)",Aucun,"Un uniforme de votre compagnie (Vêtements de voyageur de qualité), un insigne de votre rang, un ensemble de jeu de votre choix et une bourse contenant le reste de votre dernier salaire (10 po)","En tant que mercenaire qui a combattu pour de l'argent, vous savez très bien ce que c'est que de risquer votre vie et votre corps pour avoir une chance de partager un trésor. Vous avez désormais hâte de combattre vos ennemis et de récolter des récompenses encore plus grandes en tant qu'aventurier. Votre expérience vous a familiarisé avec les tenants et aboutissants de la vie de mercenaire, et vous avez probablement des histoires poignantes d'événements survenus sur le champ de bataille. Vous avez peut-être servi avec une grande unité comme les Zhentarim ou les soldats de Mintarn, ou avec une plus petite bande de mercenaires, peut-être même avec plus d'un. Consultez la section « Mercenaires du Nord » ci-dessous pour un ensemble de possibilités. 
Vous recherchez maintenant autre chose, peut-être une plus grande récompense pour les risques que vous prenez, ou la liberté de choisir vos propres activités. Pour une raison ou une autre, vous abandonnez la vie de soldat pour un mercenaire, mais vos compétences sont indéniablement adaptées au combat, alors vous continuez à vous battre d'une manière différente."
61,Myriad Operative,Myriad Operative ,"[' Deception', 'Slight of Hand', 'Stealth']",Myriade d'agents,Myriade d'agents,"Disguise Kit, forgery kit, or thieves' tools (one of your choice)",Thieves' Cant,"A set of inconspicuous common clothes, a set of tools with which you're proficient, and a belt pouch containing 10 gp","
Whether you grew up in the mean streets of Kymal bamboozling foolish gamblers, or spent your youth pilfering loose coin from the pockets of Emon's many tourists, your lifestyle of deceiving-to-survive eventually drew the attention of the Clasp: a storied crime syndicate that has hideouts in every city in Tal'Dorei. In exchange for protection, a modicum of kinship, and a number of useful resources to further develop your craft as a criminal, you agreed to receive the brand of the Clasp and join their ranks.
You might have spent time working the guild's most menial assignments, wandering the alleys as a simple cutpurse and filling your pockets with silver while you waited to climb the professional ladder. Or you might be a clever actor and liar, whose skill at blending in with all facets of society has made you an indispensable spy. Perhaps your swift technique with a blade led you to become a feared assassin for the Spireling leader of a local Clasp sect. Regardless, though the threat of the law is ever looming, the advantages to having a connection to such a powerful cartel greatly outweighs your paranoia. Most of the time.
Since the Clasp is an organization, its members can rise in rank by proving their worth, by making the right friends in high places, or even through blackmail and bribery. You and the Game Master can decide together how your actions affect your rank in the Clasp, and what benefits that rank grants you.
","Kit de déguisement, kit de contrefaçon ou outils de voleur (au choix)",Le jargon des voleurs,"Un ensemble de vêtements communs discrets, un ensemble d'outils avec lesquels vous êtes compétent et une pochette de ceinture contenant 10 po","Que vous ayez grandi dans les rues mal famées de Kymal en trompant des joueurs stupides ou que vous ayez passé votre jeunesse à voler de l'argent dans les poches des nombreux touristes d'Emon, votre style de vie consistant à tromper pour survivre a fini par attirer l'attention du Clasp : un syndicat du crime historique qui possède des cachettes dans chaque ville de Tal'Dorei. En échange d'une protection, d'un minimum de parenté et d'un certain nombre de ressources utiles pour développer davantage votre art de criminel, vous avez accepté de recevoir la marque du Clasp et de rejoindre leurs rangs. 
Vous avez peut-être passé du temps à travailler sur les missions les plus subalternes de la guilde, à errer dans les ruelles en tant que simple coupeur de bourse et à remplir vos poches d'argent en attendant de gravir les échelons professionnels. Ou vous êtes peut-être un acteur et un menteur intelligent, dont la capacité à se fondre dans toutes les facettes de la société a fait de vous un espion indispensable. Peut-être que votre technique rapide avec une lame vous a conduit à devenir un assassin redouté pour le chef Spireling d'une secte locale du Clasp. Quoi qu'il en soit, même si la menace de la loi est toujours présente, les avantages d'avoir un lien avec un cartel aussi puissant l'emportent largement sur votre paranoïa. La plupart du temps.
Le Clasp étant une organisation, ses membres peuvent monter en grade en prouvant leur valeur, en se faisant de bons amis haut placés, voire par le chantage et la corruption. Vous et le Maître du jeu pouvez décider ensemble de la manière dont vos actions affectent votre rang au sein du Clasp et des avantages que ce rang vous confère."
62,Noble,Position of Privilege ,"[' History', 'Persuasion']",Noble,Position de privilège,One type of gaming set,One of your choice,"A set of Fine Clothes, a Signet Ring, a scroll of pedigree, and a purse containing 25 gp","
You understand wealth, power, and privilege. You carry a noble title, and your family owns land, collects taxes, and wields significant political influence. You might be a pampered aristocrat unfamiliar with work or discomfort, a former merchant just elevated to the nobility, or a disinherited scoundrel with a disproportionate sense of entitlement. Or you could be an honest, hard-working landowner who cares deeply about the people who live and work on your land, keenly aware of your responsibility to them.
Work with your DM to come up with an appropriate title and determine how much authority that title carries. A noble title doesn't stand on its own-it's connected to an entire family, and whatever title you hold, you will pass it down to your own children. Not only do you need to determine your noble title, but you should also work with the DM to describe your family and their influence on you.
Is your family old and established, or was your title only recently bestowed? How much influence do they wield, and over what area? What kind of reputation does your family have among the other aristocrats of the region? How do the common people regard them?
What's your position in the family? Are you the heir to the head of the family? Have you already inherited the title? How do you feel about that responsibility? Or are you so far down the line of inheritance that no one cares what you do, as long as you don't embarrass the family? How does the head of your family feel about your adventuring career? Are you in your family's good graces, or shunned by the rest of your family?
Does your family have a coat of arms? An insignia you might wear on a signet ring? Particular colors you wear all the time? An animal you regard as a symbol of your line or even a spiritual member of the family?
These details help establish your family and your title as features of the world of the campaign.
",Un type d'ensemble de jeu,Un de vos choix,"Un ensemble de beaux vêtements, une chevalière, un parchemin de pedigree et une bourse contenant 25 po","Vous comprenez la richesse, le pouvoir et les privilèges. Vous détenez un titre de noblesse et votre famille possède des terres, collecte des impôts et exerce une influence politique significative. Vous pouvez être un aristocrate choyé qui ne connaît ni le travail ni l'inconfort, un ancien marchand récemment élevé à la noblesse ou un vaurien déshérité avec un sens disproportionné du droit. Ou vous pouvez être un propriétaire foncier honnête et travailleur qui se soucie profondément des gens qui vivent et travaillent sur vos terres, parfaitement conscient de votre responsabilité envers eux. 
Travaillez avec votre DM pour trouver un titre approprié et déterminer le degré d'autorité que ce titre confère. Un titre de noblesse n'est pas autonome : il est lié à une famille entière et quel que soit le titre que vous détenez, vous le transmettrez à vos propres enfants. Non seulement vous devez déterminer votre titre de noblesse, mais vous devez également travailler avec le DM pour décrire votre famille et son influence sur vous. 
Votre famille est-elle ancienne et établie, ou votre titre vous a-t-il été attribué récemment ? Quelle influence exercent-ils et sur quelle zone ? Quelle est la réputation de votre famille parmi les autres aristocrates de la région ? Comment les gens du commun les considèrent-ils ?
Quelle est votre position dans la famille ? Êtes-vous l'héritier du chef de famille ? Avez-vous déjà hérité du titre ? Que pensez-vous de cette responsabilité ? Ou êtes-vous si loin dans la lignée de l'héritage que personne ne se soucie de ce que vous faites, tant que vous n'embarrassez pas la famille ? Que pense le chef de votre famille de votre carrière d'aventurier ? Êtes-vous dans les bonnes grâces de votre famille ou rejeté par le reste de votre famille ?
Votre famille a-t-elle un blason ? Un insigne que vous pourriez porter sur une chevalière ? Des couleurs particulières que vous portez tout le temps ? Un animal que vous considérez comme un symbole de votre lignée ou même un membre spirituel de la famille ?
Ces détails aident à établir votre famille et votre titre comme des caractéristiques du monde de la campagne."
63,Noble Baldur’s Gate,Position of Privilege ,"[' History', 'Persuasion']",La porte noble de Baldur,Position de privilège,One type of gaming set,One of your choice,"A set of Fine Clothes, a Signet Ring, a scroll of pedigree, and a purse containing 25 gp","
The patriars of Baldur's Gate live in the Upper City. where they host grand galas and flaunt cosmopolitan fashions, but are walled off from the poverty and squalor of the less fortunate districts and their neighborhoods. Although they might visit prosperous Bloomridge to try a fashionable restaurant or boutique, or watch a spectacle at the Oasis Theater, the patriars have little reason to venture into the dirtier, more dangerous parts of the city. If they do, it is
generally as thrill-seeking tourists or enclosed by a retinue of armed guards, not as friends or
neighbors. As a result, many patriars are at once acutely attuned to the nuances of royal courts half a continent away and shockingly ignorant of what life is like for the poor outside their own doorsteps.
This combination of worldly savvy and local blindness characterizes almost all the nobility of Baldur's Gate. As a result, for those who wish to play patriars, the Patriar feature below replaces the Position and Privilege feature of the noble background. Those who wish to use the background's standard feature might have gained their standing in Baldur's Gate from business rather than inheritance.
",Un type d'ensemble de jeu,Un de vos choix,"Un ensemble de beaux vêtements, une chevalière, un parchemin de pedigree et une bourse contenant 25 po","Les patriarches de Baldur's Gate vivent dans la Haute-Ville, où ils organisent de grands galas et affichent des modes cosmopolites, mais sont isolés de la pauvreté et de la misère des quartiers les moins favorisés et de leurs quartiers. Bien qu'ils puissent se rendre dans le quartier prospère de Bloomridge pour essayer un restaurant ou une boutique à la mode, ou assister à un spectacle au Théâtre Oasis, les patriarches n'ont guère de raisons de s'aventurer dans les parties les plus sales et les plus dangereuses de la ville. S'ils le font, c'est généralement en tant que touristes en quête de sensations fortes ou entourés d'une escorte de gardes armés, et non en tant qu'amis ou voisins. En conséquence, de nombreux patriarches sont à la fois très au fait des nuances des cours royales à l'autre bout du continent et terriblement ignorants de ce qu'est la vie des pauvres à l'extérieur de chez eux. 
Cette combinaison de savoir-faire mondain et d'aveuglement local caractérise presque toute la noblesse de Baldur's Gate. Par conséquent, pour ceux qui souhaitent jouer les patriarches, la fonction Patriarche ci-dessous remplace la fonction Position et Privilège du background noble. Ceux qui souhaitent utiliser la fonction standard du background peuvent avoir acquis leur statut à Baldur's Gate grâce aux affaires plutôt qu'à l'héritage."
64,Orzhov Representative,Leverage ,"[' Intimidation', 'Religion']",Représentant d'Orzhov,Effet de levier,None,Two of your choice,"An Orzhov insignia, a foot-long chain made of ten gold coins, vestments, a set of Fine Clothes, and a belt pouch containing 1 pp (an Orzhov-minted 10-zino coin)","
Wealth is power, and you absolutely can take it with you if you're an undying spirit living in decadent luxury on the ruling council of the Orzhov Syndicate. Built on the crushed dreams and broken bodies of citizens deeply indebted to the syndicate's banks and loan sharks, Orzhov's elaborate hierarchy of syndics, priests, and oligarchs exists for the single purpose of funneling wealth to the top. Beneath the twin facades of religious hierarchy and banking operation, Orzhov is an organized crime syndicate with its fingers in businesses across the city.
The Orzhov's original function was both religious and financial, with the two functions closely related. As Ravnica's dominant church, the Orzhov continues to preach an oppressive message that equates sin with debt and promises forgiveness to those who make tithes and donations. As Ravnica's principal bank, it stores and secures the riches of the city, collecting interest at high rates to expand its own wealth. Its members truly believe that their work is necessary to the proper functioning of Ravnica. Although most other Ravnicans see the Orzhov for the corrupt organization it is, many people are still dazzled by the syndicate's promises of wealth, prestige, and longevity.
The Ghost Council, also called the Obzedat, that leads the Orzhov founded the guild and signed the Guildpact, but it isn't clear which members of the original Obzedat might have faded from existence since then and which current members have joined since.
Alignment: Usually lawful, often evil
Suggested Races: Human
Suggested Classes: Cleric, Fighter, Rogue, Wizard
You might enjoy playing a character who belongs to the Orzhov Syndicate if any of the following sentences are true:

You want to move through the corrupt underbelly of society and make respectable people squirm in your presence.
You enjoy playing fearsome or decadent characters.
You want to strive for wealth, lavish beauty, or both.

Overview
The prospect of immense wealth is the promise of membership in the Orzhov Syndicate. All of the guild's endeavors channel wealth from Ravnican society into the ranks of the Orzhov — and concentrates the spoils at the top of the hierarchy. As a functionary in that system, your best hope is to claim as much as possible of the money that passes through your hands on its way up, so that you can work your way into a more prominent position.
Regardless of your past and the wealth of your family, your initial status with the guild is near the bottom, until you have proven your value.
",Aucun,Deux de votre choix,"Un insigne d'Orzhov, une chaîne d'un pied de long composée de dix pièces d'or, des vêtements, un ensemble de beaux vêtements et une pochette de ceinture contenant 1 pp (une pièce de 10 zino frappée par Orzhov)","La richesse est un pouvoir, et vous pouvez absolument l'emporter avec vous si vous êtes un esprit immortel vivant dans un luxe décadent au sein du conseil dirigeant du Syndicat Orzhov. Construite sur les rêves brisés et les corps brisés de citoyens profondément endettés auprès des banques et des usuriers du syndicat, la hiérarchie élaborée de syndics, de prêtres et d'oligarques d'Orzhov existe dans le seul but de canaliser la richesse vers le sommet. Sous les façades jumelles de la hiérarchie religieuse et des opérations bancaires, Orzhov est un syndicat du crime organisé qui a ses doigts dans les entreprises de la ville. 
La fonction originale d'Orzhov était à la fois religieuse et financière, les deux fonctions étant étroitement liées. En tant qu'église dominante de Ravnica, l'Orzhov continue de prêcher un message oppressif qui assimile le péché à la dette et promet le pardon à ceux qui font des dîmes et des dons. En tant que banque principale de Ravnica, elle stocke et sécurise les richesses de la ville, collectant des intérêts à des taux élevés pour accroître sa propre richesse. Ses membres croient sincèrement que leur travail est nécessaire au bon fonctionnement de Ravnica. Bien que la plupart des autres Ravnicans considèrent l'Orzhov comme l'organisation corrompue qu'elle est, de nombreuses personnes sont toujours éblouies par les promesses de richesse, de prestige et de longévité du syndicat.
Le Conseil fantôme, également appelé Obzedat, qui dirige l'Orzhov a fondé la guilde et signé le Pacte des guildes, mais on ne sait pas clairement quels membres de l'Obzedat d'origine ont disparu depuis lors et quels membres actuels l'ont rejoint depuis.
Alignement : Généralement loyal, souvent maléfique
Races suggérées : Humain
Classes suggérées : Clerc, Combattant, Voleur, Sorcier
Vous aimerez peut-être jouer un personnage appartenant au Syndicat Orzhov si l'une des phrases suivantes est vraie :

Vous voulez vous déplacer dans les bas-fonds corrompus de la société et faire grincer des dents les gens respectables en votre présence.
Vous aimez jouer des personnages effrayants ou décadents.
Vous voulez aspirer à la richesse, à la beauté somptueuse, ou aux deux.

Présentation
L'adhésion au Syndicat Orzhov promet une immense richesse. Tous les efforts de la guilde canalisent la richesse de la société Ravnicane vers les rangs de l'Orzhov, et concentrent le butin au sommet de la hiérarchie. En tant que fonctionnaire de ce système, votre meilleur espoir est de récupérer le plus d'argent possible qui passe entre vos mains au fur et à mesure de votre ascension, afin de pouvoir vous frayer un chemin vers une position plus importante.
Quels que soient votre passé et la richesse de votre famille, votre statut initial au sein de la guilde est proche du bas, jusqu'à ce que vous ayez prouvé votre valeur."
65,Outlander,Wanderer ,"[' Athletics', 'Survival']",L'étranger,Vagabond,One type of musical instrument,One of your choice,"A staff, a Hunting Trap, a trophy from an animal you killed, a set of Traveler's Clothes, and a belt pouch containing 10 gp","
You grew up in the wilds, far from civilization and the comforts of town and technology. You've witnessed the migration of herds larger than forests, survived weather more extreme than any city-dweller could comprehend, and enjoyed the solitude of being the only thinking creature for miles in any direction. The wilds are in your blood, whether you were a nomad, an explorer, a recluse, a hunter-gatherer, or even a marauder. Even in places where you don't know the specific features of the terrain, you know the ways of the wild.
",Un type d'instrument de musique,Un de vos choix,"Un bâton, un piège de chasse, un trophée d'un animal que vous avez tué, un ensemble de vêtements de voyageur et une pochette de ceinture contenant 10 po","Vous avez grandi dans la nature, loin de la civilisation et du confort de la ville et de la technologie. Vous avez été témoin de la migration de troupeaux plus grands que des forêts, vous avez survécu à des conditions climatiques plus extrêmes que celles que n'importe quel citadin pourrait imaginer et vous avez apprécié la solitude d'être la seule créature pensante à des kilomètres à la ronde. La nature est dans votre sang, que vous soyez un nomade, un explorateur, un reclus, un chasseur-cueilleur ou même un maraudeur. Même dans les endroits où vous ne connaissez pas les caractéristiques spécifiques du terrain, vous connaissez les manières de vivre de la nature."
66,Outlander Baldur’s Gate,Wanderer ,"[' Athletics', 'Survival']","La porte de Baldur, un étranger",Vagabond,One type of musical instrument,One of your choice,"A staff, a Hunting Trap, a trophy from an animal you killed, a set of Traveler's Clothes, and a belt pouch containing 10 gp","
Coming to Baldur's Gate might seem like a good idea for a spectrum of reasons. Profit, excitement, and cosmopolitan opportunities all present tempting prospects, but rarely does one start on the path to Baldur's Gate fully understanding the complex social morass that awaits. You enter the city an outsider, and it's likely that-no matter how long you spend in the city- you'll leave an outsider, if you leave at all.
",Un type d'instrument de musique,Un de vos choix,"Un bâton, un piège de chasse, un trophée d'un animal que vous avez tué, un ensemble de vêtements de voyageur et une pochette de ceinture contenant 10 po","Venir à Baldur's Gate peut sembler une bonne idée pour de nombreuses raisons. Le profit, l'excitation et les opportunités cosmopolites sont autant de perspectives alléchantes, mais on s'engage rarement sur le chemin de Baldur's Gate en comprenant pleinement le bourbier social complexe qui nous attend. Vous entrez dans la ville en tant qu'étranger, et il est probable que, peu importe le temps que vous y passerez, vous en sortirez en tant qu'étranger, si vous en sortez."
67,Pirate,Bad Reputation ,"[' Athletics', 'Perception']",Pirate,Mauvaise réputation,"Navigator's tools, vehicles (water)",None,"A belaying pin (club), 50 feet of Silk Rope, a lucky charm such as a rabbit foot or a small stone with a hole in the center (or you may roll for a random trinket on the Trinkets table in chapter 5), a set of Common Clothes, and a belt pouch containing 10 gp","
You spent your youth under the sway of a dread pirate, a ruthless cutthroat who taught you how to survive in a world of sharks and savages. You've indulged in larceny on the high seas and sent more than one deserving soul to a briny grave. Fear and bloodshed are no strangers to you, and you've garnered a somewhat unsavory reputation in many a port town.
If you decide that your sailing career involved piracy, you can choose the Bad Reputation feature below instead of the Ship's Passage feature.
","Outils du navigateur, véhicules (eau)",Aucun,"Un cabillot (club), 15 mètres de corde de soie, un porte-bonheur comme une patte de lapin ou une petite pierre avec un trou au centre (ou vous pouvez lancer un dé pour un bibelot aléatoire sur la table des bibelots au chapitre 5), un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","Vous avez passé votre jeunesse sous l'emprise d'un redoutable pirate, un impitoyable assassin qui vous a appris à survivre dans un monde de requins et de sauvages. Vous avez commis des vols en haute mer et envoyé plus d'une âme méritante dans une tombe salée. La peur et les effusions de sang ne vous sont pas étrangères, et vous avez acquis une réputation quelque peu peu recommandable dans de nombreuses villes portuaires. 
Si vous décidez que votre carrière de marin impliquait la piraterie, vous pouvez choisir la fonction Mauvaise réputation ci-dessous au lieu de la fonction Passage du navire."
